driverId,week,hours-logged,miles-logged
124,38,74,500
879,13,52,3000
252,1,56,1900
456,40,73,800
913,15,50,0
837,52,62,3500
63,29,61,1200
443,18,56,100
471,49,70,1100
129,35,56,1600
539,48,56,2100
939,43,72,0
674,19,55,600
87,4,56,1700
568,6,54,2900
952,30,75,3200
676,24,55,1700
986,31,61,2500
320,25,71,2900
75,27,79,900
359,47,70,2400
747,40,70,300
281,26,51,3300
602,16,80,900
33,43,74,2000
306,5,74,2700
506,33,63,1600
521,10,61,1500
640,42,76,3500
911,37,67,700
143,21,77,2100
968,44,69,2300
589,44,64,800
355,37,55,800
437,16,56,2600
431,51,51,1400
805,8,59,1900
280,33,71,2000
590,41,77,500
920,45,79,3700
839,50,64,3100
128,8,56,2000
15,25,56,200
364,30,58,100
292,12,80,3600
710,14,77,1900
459,50,61,3300
903,21,55,3300
380,52,75,2200
19,40,64,2400
966,8,54,3900
466,18,69,1400
991,43,59,2700
113,44,75,2800
703,43,62,1600
241,3,73,800
457,23,78,1200
341,31,68,2100
661,34,56,1500
971,8,75,2300
449,40,55,1100
723,36,80,400
861,47,75,3300
965,32,71,400
578,39,61,600
630,40,52,3300
329,46,76,3200
227,40,79,1400
229,17,64,1100
933,3,80,2900
666,25,80,2800
596,16,59,1400
807,47,51,2200
22,7,65,3000
489,45,64,3900
247,44,75,500
954,22,50,1700
629,39,67,0
374,6,55,3400
514,21,70,2700
1000,49,51,2000
1000,9,53,1200
632,12,62,1700
541,8,56,3800
307,46,62,1500
315,41,63,3100
661,6,69,3700
201,5,76,2900
607,20,64,1100
176,16,60,2700
894,33,71,1000
982,35,64,3400
338,12,55,3000
466,15,57,100
721,9,79,1300
263,36,55,3400
63,16,80,500
962,30,50,1800
51,37,58,2700
824,26,78,1700
308,40,55,200
694,4,55,3200
417,23,74,2000
55,28,73,600
918,2,50,3400
20,34,57,2000
107,51,52,1400
218,22,75,1500
746,11,53,100
208,30,58,2700
787,44,79,3300
842,35,76,2800
526,52,62,1600
273,19,71,3500
367,42,62,200
956,31,67,2200
205,19,58,1700
451,38,76,3200
707,13,74,3800
299,18,52,2100
524,44,59,1100
596,46,75,2200
607,44,57,1900
21,5,70,500
594,45,52,3900
569,14,77,2300
536,23,65,4000
292,47,68,3600
869,48,73,1800
975,13,52,3400
750,38,70,700
602,20,61,0
790,17,68,3300
762,50,65,0
478,20,62,3000
869,47,74,500
638,21,67,0
407,13,54,1000
275,26,72,2400
612,50,69,2500
414,5,80,3100
374,22,62,1500
17,23,75,1500
144,21,60,900
790,27,79,2600
418,14,71,3100
95,13,57,700
810,3,57,1800
899,4,72,2500
517,5,80,2000
514,39,70,3300
86,20,58,1300
787,24,71,3000
966,34,75,1300
839,47,62,2600
853,38,77,1100
200,17,59,1900
257,40,54,3600
827,28,61,2700
117,21,78,0
115,45,65,0
173,6,80,1600
815,50,72,600
156,36,80,200
595,33,72,1500
392,13,62,800
889,4,67,1800
560,14,63,1000
680,51,51,100
317,28,53,900
565,41,57,300
479,46,75,1300
735,41,64,1200
510,43,76,3100
599,12,62,400
871,50,60,1700
212,28,76,3700
980,44,61,3900
59,31,72,2600
873,11,71,1500
88,47,64,600
161,10,59,3300
505,1,73,1100
931,40,57,400
